"","KH","ATTITUDE_ENG.5","INTEREST_ENG.5","CLASSMATERELATION.5","CAMPUS_CONDITION.5","SATISIFACTION_LEARNING_MATH.5","STRATEGY_MATH.5","THR_MATH_NEW.5","PISA_12_ST81_ENG.5","THR_ENG_NEW.5","HOMEWOK_CORR_MATH","STRATEGE_ENG.5","SATISIFACTION_LEARNING_ENG.5","HOMEWOK_CORR_ENG.5","STUDYINTEREST_MATH.5","STEP_CLASSMATERELATION.5","PISA_12_ST81_MATH.5","MATH_ENG_STRESS_5","MANNERS.5","SOCIAL_MORALS.5","HARD_WORK.5","MP_ADD_5","SOLIDARITY_FRIENDSHIP.5","MORAL_DUTY.5","THRIFTY.5","AWARE.5","SENSE_HONOR.5","GRA_GEOMETRY.5","SELF_PROTECTION.5","ENG_LEVEL_5","ENG5","ENG_LEVE5_KNOWLEDGE_T1","ENG_LEVE5_KNOWLEDGE_T2","MATH_LEVE5_KNOWLEDGE_T1","MATH_LEVE5_KNOWLEDGE_T2","MATH5","MATH_LEVE5_THINKING_T2","MATH_LEVE5_THINKING_T1","ATTITUDE_ENG.9","INTEREST_ENG.9","CLASSMATERELATION.9","STUDYINTEREST_MATH.9","CAMPUS_CONDITION.9","STUDYATTITUDE_MATH_9","SATISIFACTION_LEARNING_MATH.9","STRATEGY_MATH.9","DISCLIMA","THR_MATH_NEW.9","PISA_12_ST81_ENG.9","THR_ENG_NEW.9","SATISIFACTION_LEARNING_ENG.9","STRATEGE_ENG.9","HOMEWOK_CORR_ENG.9","STEP_CLASSMATERELATION.9","PISA_12_ST81_MATH.9","MATH_ENG_STRESS_9","MANNERS.9","SOCIAL_MORALS.9","SENSE_HONOR.9","HARD_WORK.9","SOLIDARITY_FRIENDSHIP.9","MORAL_DUTY.9","THRIFTY.9","AWARE.9","MP_ADD_9","GRA_GEOMETRY.9","SELF_PROTECTION.9","ENG_LEVE9_KNOWLEDGE_T1","ENG_LEVE9_KNOWLEDGE_T2","ENG9","ENG_LEVEL_9","MATH9","MATH_LEVE9_THINKING_T1","MATH_LEVE9_THINKING_T2","MATH_LEVE9_KNOWLEDGE_T1","MATH_LEVE9_KNOWLEDGE_T2"
"95",1052030108,517.63,486.39,588.3,506.95,478.61,539.17,541.37,496.59,534.49,547.03,513.49,555.43,682.82,519.87,4,514.42,548.15,511.58,550.49,603.79,481.59,621.46,591.48,486.37,510.91,574.26,519.31,549.59,4,655.94,675.09,607.1,694.53,623.97,658.9,534.85,666.54,594.11,544.23,477.8,356.83,456.97,503.49,343.73,530.55,287.67,387.06,506.91,500.03,582.32,590.68,297.52,2,532.6,449.77,574.89,687.21,497.55,667.44,638.41,679.01,539.91,505.2,380.09,458.44,551.69,535.96,492.05,523.47,3,477.83,449.23,463.86,467.46,448.49
"96",1052030109,586.23,434.5,522.64,636.77,392.93,477.53,593.96,553.55,565.71,611.31,375.64,408.58,529.65,463.26,3,551.98,526.81,489.27,550.49,436.06,523.64,621.46,418.45,435.31,510.91,634.15,488.67,549.59,4,654.26,662.82,613.23,723.27,553.06,714.06,507.94,503.14,403.4,511.46,477.8,577.04,474.8,460.4,529.45,568.21,397.71,445.59,459.09,431.6,490.34,488.15,483.25,2,449.95,405.51,379.99,352.61,443.33,336.77,420.07,415.56,420.05,430.43,529.33,530.49,551.69,613.14,611.4,643.72,4,558.71,464.6,409.25,448.55,552
"97",1052030110,NA,381.1,663.73,391.73,574.4,347.69,653.13,NA,NA,547.03,NA,NA,NA,349.41,4,455.86,549.56,435.74,600.37,415.15,527.76,572.01,447.86,414.94,473.11,485.79,417.41,549.59,3,575.03,627.43,512.83,474.69,470.83,531.29,635.52,561.44,NA,NA,446.41,500.77,570.14,420.46,460.85,433.65,512.43,495.98,NA,NA,NA,NA,NA,2,449.95,587.68,379.99,399.37,382.59,356.24,452.18,434.13,353.49,430.43,512.47,483.83,551.69,428.09,441.99,426.03,2,374.11,374.84,481.47,436.29,391.54
"98",1052030111,418.47,411.95,391.34,636.77,682.69,650.77,504.06,241.54,534.49,410.06,710.87,680.87,456.94,555.37,1,317.01,585.41,382.72,408.14,512.73,588.57,621.46,447.86,486.37,656.1,634.15,241.32,371.68,2,454,456.61,442.05,327.11,503.32,327.86,396.4,335.04,594.11,657.93,477.8,552.47,334.23,636.29,620.15,589.88,397.71,677,535.26,451.87,732.73,604.65,549.36,2,427.65,563.23,458.68,487.88,647.35,482.74,595.82,520.18,374.65,505.2,427.42,483.83,551.69,577.07,642.35,642.75,4,611.2,608.73,702.33,601.02,606.41
"99",1052030112,458.53,434.5,451.28,538.65,691.82,650.77,653.13,521.41,665.4,547.03,495.95,473.06,565.14,602.75,2,514.42,526.81,674.68,516.19,603.79,429.61,621.46,591.48,654.75,656.1,634.15,602.34,549.59,4,654.26,662.82,662.47,584.48,602.05,612.17,513.39,649.11,594.11,511.46,684.68,526.86,694.1,544.52,529.45,568.21,512.43,633.71,459.09,527.49,582.32,534.71,415.24,NA,569.91,449.77,417.76,586.74,588.3,482.74,554.58,580.83,472.91,579.75,503.59,507.67,551.69,622.48,655.8,620.3,4,619.33,616.44,519.44,598.68,601.33
"100",1052030113,316.53,434.5,391.34,636.77,478.61,365.25,428.4,NA,NA,547.03,456.01,457.44,617.38,415.22,1,484.71,496.07,382.72,396.68,469.02,549.545,354.3,371.59,435.31,510.91,522.2,455.17,549.59,3,562.89,580.99,540.31,458.85,476.81,448.19,497.67,447.67,474.05,425.88,395.88,475.7,694.1,590.99,382.65,433.65,601.97,555.81,418.38,431.6,457.05,470.11,435.97,1,427.65,405.51,398.41,382.23,647.35,398.01,452.18,520.18,445.24,430.43,582.27,430.75,551.69,379.05,382.12,422.53,2,443.42,440.47,565.11,480.65,436.69
"101",1052030114,517.63,486.39,588.3,538.65,637.07,495.86,653.13,457.13,611.11,611.31,522.94,480.13,437.47,555.37,4,459.87,372.19,570.56,489.73,458.56,400.035,527.18,591.48,396.26,656.1,485.79,802.81,549.59,3,524.36,547.71,465.67,407.64,552.93,490.43,369.78,569.85,544.56,617.92,446.41,552.47,492.97,503.49,529.45,513.41,512.43,524.8,613.68,527.49,490.34,497.19,603.09,2,618.67,538.63,398.41,548.93,468.16,376.43,392.42,496.15,642.99,579.75,440.48,530.49,386.8,623.31,617.9,594.08,3,541.91,551.74,525.72,604.46,506.75
"102",1052030115,NA,NA,588.3,636.77,449.28,495.86,541.37,439.74,565.71,547.03,NA,NA,NA,438.57,4,NA,590.6,420.98,450.09,415.15,NA,572.01,447.86,361.33,473.11,435,499.13,549.59,3,572.37,575.82,577.53,423.75,527.94,437.02,534.85,424.16,594.11,578.24,514.52,577.04,492.97,590.99,590.92,513.41,601.97,495.98,661.81,527.49,552.52,525.01,357.44,3,669.69,564.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.69,561.96,541.82,3,551.88,556.41,463.86,560.95,528.33
"103",1052030116,517.63,608.97,428.03,441.04,449.14,460.49,390.08,457.13,453,611.44,456.01,503.13,617.38,438.57,2,484.71,564.56,394.66,468.2,395.22,517.53,395.89,393.87,378.56,397.09,485.79,455.17,549.59,4,631.13,583.44,714.39,723.27,627.76,818.29,507.94,503.14,594.11,617.92,620.76,601.66,530.27,636.29,560.57,465.17,601.97,633.71,360.77,627.57,637.22,694.41,512.44,4,386.86,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.96,473.09,467.59,2,460.8,326.71,409.25,380.62,451.19
"104",1052030117,586.23,520.31,588.3,636.77,637.07,707.23,653.13,346.14,534.49,547.03,665.83,527.65,682.82,555.37,4,663,372.19,537.75,659.91,512.73,501.37,621.46,511.67,654.75,601.61,634.15,683.48,549.59,4,633.16,631.87,607.1,610.1,548.26,651.03,507.18,525.62,493.7,375.42,559.16,452.07,577.48,590.99,460.85,513.41,397.71,524.8,NA,NA,422.62,506.32,318.57,3,501.49,564.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.48,381.91,388.59,1,374.11,401.61,481.47,403,391.54
"105",1052030118,148.53,226.89,343.79,332.9,691.82,539.17,593.96,387.97,295.32,438.27,333.33,555.43,360.28,602.75,1,484.71,564.56,609.06,642.25,549.6,498.15,440.39,511.67,654.75,NA,398.66,417.41,549.59,3,604.64,563.19,718.35,555.76,621.53,621.42,606.34,649.57,594.11,617.92,620.76,577.04,530.27,503.49,713.64,530.55,512.43,555.81,380.44,668.11,522.09,534.71,435.97,4,532.6,276.36,636.43,548.93,534.92,482.74,620.91,580.83,420.05,627.39,452.6,NA,551.69,622.48,561.37,570.75,3,611.2,556.41,565.06,579.85,606.41
"106",1052030119,586.23,621.79,663.73,423.55,691.82,650.77,593.96,553.55,611.11,547.03,569.42,680.87,682.82,654.86,4,604.39,670.84,570.56,659.91,603.79,555.7,621.46,647.25,458.46,656.1,634.15,373.08,549.59,4,680.7,665.2,657.93,640.27,692.78,679.34,643.8,649.11,544.56,451.92,514.52,526.86,549.67,544.52,590.92,530.55,601.97,590.58,506.91,500.03,347.93,364.4,502.27,3,569.91,276.36,437.89,487.88,534.92,482.74,486.54,496.15,503.97,579.75,545.24,430.75,551.69,303.15,397.03,346.71,1,561.51,505.55,624.7,532.65,559.28
"107",1052030120,586.23,621.79,451.28,538.65,330.58,516.1,541.37,553.55,665.4,438.27,628.91,680.87,617.38,371.04,2,604.39,447.47,570.56,420.61,549.6,657.15,440.39,486.41,435.31,397.09,634.15,488.67,549.59,4,685.57,675.09,657.06,504.77,561.9,540.84,497.67,532.7,447.75,451.92,559.16,356.83,405.34,342.24,382.65,417.5,512.43,368.93,459.09,556.51,457.05,422.99,458.32,3,449.95,538.63,525.23,399.37,313.37,254.66,392.42,453.63,312.07,505.2,617.6,552.71,551.69,488.75,451.74,458.69,2,425.02,495.88,372.23,461.43,385.53
"108",1052030121,586.23,520.31,522.64,636.77,509.82,477.53,653.13,658.28,611.11,438.27,415.33,503.13,529.65,602.75,3,484.71,548.15,NA,NA,NA,507.48,NA,NA,NA,NA,NA,NA,NA,3,563.35,590.24,522.28,433.7,552.93,511.82,513.74,532.7,366.51,311.09,477.8,697.85,439.49,503.49,560.57,496.96,287.67,469.42,313.62,335.52,347.93,442.46,483.25,2,532.6,580.3,458.68,635.19,468.16,526.64,486.54,453.63,472.91,667.99,512.47,458.44,551.69,531.58,423.77,497.35,2,726.68,641.69,525.72,679.07,672.1
"109",1052030122,458.53,389.93,351.84,359.37,363.61,397.64,653.13,439.74,470.36,611.31,349.53,340.06,597.56,303.18,1,663,548.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,460.11,443.46,486.89,423.75,527.94,429.76,397.75,407.06,403.4,425.88,446.41,577.04,492.97,389.48,560.57,496.96,512.43,524.8,NA,NA,457.05,442.46,512.44,2,474.33,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.96,473.09,472.23,2,562.26,531.3,463.86,560.95,528.33
"110",1052030123,586.23,621.79,663.73,636.77,637.07,707.23,653.13,658.28,665.4,547.03,696.14,633.98,682.82,654.86,4,663,447.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,598.59,562.68,657.06,496.36,413.97,555.21,507.94,481.28,594.11,657.93,374.58,475.7,592.64,389.48,423.8,383,512.43,524.8,535.26,474.61,664.81,479.14,512.44,1,618.67,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.29,523.62,576.35,3,435.18,436.41,409.25,352.82,378.05
"111",1052030124,586.23,520.31,522.64,506.95,478.61,477.53,504.06,457.13,470.36,438.27,463.82,480.13,565.14,327.21,3,418.22,564.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,604.64,607.48,577.53,610.1,470.83,556.22,635.52,525.62,403.4,425.88,477.8,552.47,530.27,460.4,529.45,513.41,601.97,495.98,481.84,474.61,347.93,432.87,435.97,2,618.67,538.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.12,475.6,435.19,2,658.43,681.21,567.61,704.06,617.47
"112",1052030125,517.63,621.79,588.3,423.55,691.82,516.1,593.96,521.41,665.4,547.03,513.49,589.16,529.65,654.86,4,551.98,564.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,774.03,712.18,714.39,696.29,719.74,743.52,707.92,618.6,493.7,400.91,477.8,526.86,422.31,420.46,529.45,513.41,NA,484.11,360.77,413.04,347.93,442.46,435.97,2,NA,276.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,492.12,484.5,2,645.48,647.56,702.33,664.52,561.28
"113",1052030126,458.53,411.95,522.64,407.23,544.19,381.77,449.98,553.55,565.71,NA,456.01,457.44,617.38,463.26,3,340.63,447.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,541.47,534.71,570.7,640.27,602.05,598.77,643.8,649.11,544.56,617.92,620.76,601.66,474.8,503.49,560.57,548.67,512.43,524.8,459.09,588.32,522.09,590.68,458.32,4,449.95,538.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.9,492.05,481.6,2,444.46,386.09,519.44,436.35,477.59
"114",1052030127,586.23,621.79,663.73,636.77,584.42,707.23,653.13,521.41,665.4,619.77,585.09,555.43,682.82,555.37,4,604.39,649.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,529.38,498.07,662.47,482,434.56,448.19,497.67,447.67,403.4,400.91,446.41,429.31,439.49,420.46,382.65,513.41,512.43,424.42,313.62,335.52,384.25,401.92,338.33,2,618.67,609.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.23,561.96,585.33,3,538.69,554.54,565.11,560.25,526.55
"115",1052030128,586.23,458.77,663.73,583.84,584.42,516.1,593.96,NA,NA,611.31,456.01,480.13,565.14,555.37,4,514.42,496.07,489.27,516.19,549.6,452.74,621.46,591.48,580.19,510.91,574.26,602.34,549.59,3,564.66,541.99,657.93,657.27,620.54,646.73,621.45,569.85,544.56,511.46,514.52,577.04,592.64,590.99,590.92,513.41,601.97,445.59,NA,NA,422.62,577.99,357.44,3,569.91,564.62,480.1,399.37,421.36,449.35,452.18,496.15,396.69,505.2,503.59,430.75,551.69,487.87,488.39,478.34,2,464.73,494.05,525.72,501.18,457.96
"116",1052030129,586.23,411.95,522.64,460.17,691.82,461.09,593.96,422.83,534.49,611.31,463.82,408.58,565.14,602.75,3,514.42,578.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,532.65,523.1,570.7,469.78,623.97,530.05,534.85,407.06,493.7,375.42,559.16,429.31,530.27,460.4,460.85,449.47,601.97,677,NA,NA,347.93,307.55,415.24,3,501.49,276.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.71,351.22,388.59,1,551.88,531.3,565.06,542.78,500.4
"117",1052030130,586.23,621.79,663.73,636.77,637.07,566.63,653.13,658.28,665.4,547.03,543.92,555.43,682.82,555.37,4,604.39,372.19,NA,NA,NA,406.95,NA,NA,NA,NA,NA,NA,NA,3,554.89,531.06,613.23,444.13,413.97,471.8,380.88,411.13,594.11,544.23,514.52,452.07,549.67,590.99,343.73,513.41,512.43,590.58,569.01,668.11,582.32,590.68,512.44,3,569.91,449.77,549.3,635.19,588.3,667.44,554.58,547.54,503.97,505.2,440.48,552.71,551.69,622.48,655.8,642.2,4,477.82,436.41,301.09,366.68,473.76
"118",1052030131,586.23,520.31,391.34,506.95,392.93,365.25,504.06,457.13,611.11,438.27,471.65,480.13,529.65,392.83,1,418.22,372.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,575.03,602.45,540.31,450.44,548.26,457.81,425.3,369.57,319.31,451.92,374.58,452.07,456.97,636.29,590.92,480.94,601.97,590.58,438.1,451.87,384.25,479.14,415.24,1,569.91,405.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.23,459.27,502.41,2,507.72,604.46,380.67,514.48,480.87
"119",1052030132,NA,566.47,588.3,506.95,509.82,539.17,593.96,NA,NA,503.54,NA,NA,NA,415.22,4,604.39,590.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,572.32,602.64,514.05,444.4,408.65,462.84,504.57,578.27,594.11,511.46,446.41,577.04,492.97,590.99,529.45,589.88,512.43,524.8,535.26,474.61,637.22,566.24,458.32,2,474.33,538.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662.84,569.04,627.02,4,541.9,531.3,377.53,505.69,528.33
"120",1052030133,586.23,621.79,663.73,636.77,691.82,707.23,653.13,346.14,665.4,547.03,585.09,555.43,652.55,654.86,4,663,496.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,592.75,590.24,577.53,541.19,602.05,518.42,605.09,508.17,594.11,511.46,684.68,577.04,619.15,636.29,590.92,589.88,601.97,677,418.38,668.11,552.52,577.99,483.25,NA,612.63,579.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.63,561.96,608.16,4,573.68,576.13,624.7,550.68,601.33
"121",1052030134,361.96,389.93,391.34,506.95,427.2,444.31,428.4,346.14,509.9,410.06,527.6,527.65,501.75,489.97,1,380.61,526.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,424.87,412.65,484.47,391.09,291.2,347.7,504.01,405.08,594.11,511.46,419.44,429.31,456.97,590.99,382.65,480.94,512.43,495.98,506.91,500.03,552.52,479.14,377.93,2,501.49,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604.85,642.35,666,4,549.93,554.54,565.11,560.25,553.82
"122",1052030135,586.23,567.66,522.64,583.84,544.19,516.1,653.13,601.18,665.4,611.31,513.49,457.44,617.38,602.75,3,514.42,564.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,584.7,562.68,657.06,555.4,579.43,580.59,621.45,569.85,594.11,657.93,477.8,662.42,694.1,636.29,560.57,568.21,601.97,633.71,661.81,668.11,490.34,544.74,668.21,2,669.69,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.46,642.35,611.59,4,676.54,594.28,525.72,639.27,672.1
"123",1052030136,586.23,520.31,663.73,636.77,584.42,601.41,653.13,496.59,509.9,611.31,522.94,503.13,617.38,654.86,4,551.98,526.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,582.09,541.14,718.35,637.53,461.12,548.86,534.85,505.72,447.75,425.88,414.44,577.04,570.14,590.99,590.92,645.14,601.97,590.58,558.24,417.61,490.34,555.21,472.36,1,618.67,564.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.88,466.21,522.31,3,562.26,531.3,702.33,560.95,500.4
"124",1052030136,586.23,520.31,663.73,636.77,584.42,601.41,653.13,496.59,509.9,611.31,522.94,503.13,617.38,654.86,4,551.98,526.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,582.09,541.14,718.35,637.53,461.12,548.86,534.85,505.72,447.75,425.88,414.44,577.04,570.14,590.99,590.92,645.14,601.97,590.58,558.24,417.61,490.34,555.21,472.36,1,618.67,564.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.88,466.21,505.53,2,562.26,531.3,702.33,560.95,500.4
"125",1052030137,316.53,411.95,408.57,636.77,691.82,477.53,474.64,457.13,534.49,611.31,203.1,680.87,456.94,602.75,1,514.42,620.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,521.76,520.16,512.83,477.45,478.68,462.7,507.94,503.14,594.11,657.93,620.76,552.47,694.1,636.29,590.92,731.12,601.97,633.71,535.26,627.57,732.73,694.41,512.44,4,669.69,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.23,666.52,608.16,4,542.31,451.97,409.25,420.02,552
"126",1052030138,458.53,434.5,428.03,636.77,478.61,428.63,593.96,533.94,665.4,503.54,448.18,434.01,501.75,438.57,2,484.71,600.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,494.64,493.09,514.05,668.89,470.83,623.78,507.18,656.69,403.4,511.46,446.41,526.86,530.27,460.4,529.45,513.41,601.97,590.58,569.01,588.32,490.34,515.57,395.52,2,501.49,563.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623.31,556.23,594.08,3,629.32,681.21,567.61,651.81,573.81
"127",1052030139,502.03,342.7,451.28,460.17,509.82,347.69,593.96,457.13,419.61,547.03,333.33,378.99,456.94,415.22,2,514.42,496.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,539.17,575.82,475.19,499.86,503.32,508.76,504.57,504.55,544.56,511.46,559.16,500.77,549.67,460.4,496.39,530.55,601.97,524.8,438.1,527.49,490.34,479.14,458.32,3,569.91,538.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.63,634.83,602.14,4,611.2,608.73,377.53,579.85,657.71
"128",1052030140,586.23,621.79,522.64,506.95,544.19,516.1,653.13,553.55,665.4,547.03,543.92,457.44,682.82,519.87,3,514.42,548.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,774.03,712.18,714.39,640.27,692.78,659.71,643.8,649.11,544.56,511.46,514.52,552.47,570.14,590.99,560.57,548.67,601.97,590.58,535.26,527.49,552.52,544.74,512.44,3,532.6,580.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.75,534.32,549.74,3,501.11,505.55,519.44,516.37,477.59
"129",1052030141,586.23,621.79,663.73,636.77,637.07,707.23,653.13,658.28,665.4,611.31,665.83,589.16,617.38,654.86,4,663,447.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,781.16,726.51,713.44,566.57,657.76,641.06,593.21,569.85,401.19,425.88,419.44,475.7,474.8,389.48,560.57,433.65,397.71,405.21,438.31,413.04,498.42,479.14,354.87,2,501.49,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.46,584.32,592.87,3,603.81,646.77,565.11,652.86,553.82
"130",1052030142,586.23,434.5,522.64,441.04,509.82,495.86,541.37,405.79,419.61,468.75,513.49,503.13,501.75,602.75,3,514.42,447.47,NA,NA,NA,523.64,NA,NA,NA,NA,NA,NA,NA,3,541.85,534.16,548.18,657.27,499.94,580.59,621.45,447.67,544.56,511.46,477.8,552.47,388.39,460.4,620.15,530.55,512.43,524.8,481.84,500.03,610.54,525.01,512.44,2,474.33,538.63,549.3,462.3,468.16,482.74,452.18,381.24,445.24,505.2,545.24,643.39,386.8,575.04,572.78,552.31,3,541.91,551.74,415.19,578.35,506.75
"131",1052040101,586.23,621.79,451.28,391.73,392.93,477.53,390.08,601.18,534.49,503.54,495.95,680.87,529.65,349.41,2,484.71,610.92,NA,NA,NA,431.17,NA,NA,NA,NA,NA,NA,NA,4,722.88,712.18,657.93,621.62,567.14,658.9,534.85,505.72,403.4,451.92,477.8,601.66,592.64,460.4,590.92,614.8,601.97,495.98,535.26,500.03,552.52,590.68,512.44,2,386.86,564.62,525.23,487.88,534.92,667.44,486.54,434.13,539.91,505.2,463.92,483.83,551.69,505.69,513.86,524.2,3,597.33,580.9,565.06,560.95,561.28
"132",1052040102,586.23,567.66,522.64,636.77,478.61,539.17,541.37,475.74,534.49,468.75,504.53,527.65,326.57,602.75,3,551.98,564.56,617.78,659.91,467.41,376.97,621.46,591.48,344.12,355.24,634.15,417.41,549.59,4,685.57,675.09,657.06,656.96,627.76,679.05,507.94,503.14,594.11,657.93,684.68,628.6,694.1,636.29,590.92,686.21,601.97,677,661.81,668.11,490.34,620.4,603.09,NA,669.69,276.36,736.16,687.21,647.35,667.44,638.41,679.01,707.61,505.2,360.37,507.67,551.69,591.39,599.13,619.62,4,504.66,409.96,409.25,366.68,522.19
"133",1052040103,586.23,434.5,451.28,583.84,449.28,444.31,449.98,475.74,419.61,547.03,528.28,457.44,529.65,445.77,2,459.87,447.47,NA,NA,NA,472.34,NA,NA,NA,NA,NA,NA,NA,3,524.49,551.75,475.19,610.1,548.26,716.24,635.52,525.62,594.11,657.93,684.68,577.04,694.1,636.29,590.92,645.14,601.97,633.71,661.81,668.11,637.22,732.26,549.36,NA,669.69,538.63,603.06,586.74,647.35,667.44,638.41,547.54,642.99,627.39,427.42,483.83,551.69,533.92,576.31,621.07,4,588.37,608.86,567.61,651.81,542.28
"134",1052040104,586.23,520.31,588.3,583.84,544.19,566.63,593.96,658.28,611.11,547.03,560.79,503.13,501.75,602.75,4,489.41,578.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,564.66,554.19,607.76,429.34,621.53,431.96,561.43,425.35,493.7,578.24,419.44,500.77,511.44,544.52,529.45,530.55,512.43,524.8,535.26,500.03,552.52,525.01,458.32,2,501.49,449.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656.73,642.35,678.73,4,626.96,608.73,702.33,601.02,606.41
"135",1052040105,517.63,434.5,391.34,446.42,478.61,494.12,577.47,475.74,419.61,611.31,463.82,457.44,419.03,489.97,1,428.41,526.81,469.57,506.32,415.15,545.15,440.39,465.61,396.26,510.91,485.79,488.67,549.59,4,631.01,631.87,601.01,609.56,602.05,598.77,565.89,649.11,594.11,657.93,684.68,356.83,456.97,320.56,343.73,433.65,397.71,633.71,613.68,668.11,732.73,590.68,549.36,NA,449.95,535.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.46,642.35,611.59,4,482.61,440.36,414.18,436.35,502.09
"136",1052040106,586.23,342.7,663.73,460.17,584.42,539.17,541.37,475.74,402.35,438.27,479.58,555.43,277.72,463.26,4,459.87,586.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,654.26,607.48,718.35,611.83,513.73,564.7,716.03,569.85,594.11,657.93,684.68,662.42,694.1,636.29,496.39,731.12,601.97,677,661.81,668.11,610.54,732.26,668.21,NA,669.69,538.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575.04,632.95,634.35,4,538.69,646.77,565.11,604.47,502.82
"137",1052040107,586.23,486.39,522.64,583.84,449.28,707.23,428.4,553.55,489.02,356.62,504.53,480.13,565.14,463.26,3,604.39,447.47,489.27,420.61,458.56,535.84,572.01,418.45,414.94,510.91,485.79,519.31,549.59,3,613.83,583.44,657.93,460.62,515.49,480.21,369.78,532.7,341.67,347.12,620.76,429.31,549.67,590.99,343.73,480.94,601.97,677,418.38,358.19,347.93,534.71,549.36,4,669.69,609.34,525.23,586.74,588.3,526.64,420.07,434.13,472.91,505.2,560.43,401.1,551.69,468.77,423.77,436.65,2,456.09,447.76,525.72,457.68,457.96
"138",1052040108,586.23,621.79,522.64,583.84,330.58,306.99,428.4,457.13,665.4,410.06,495.95,633.98,401.13,392.83,3,551.98,496.07,NA,NA,NA,431.17,NA,NA,NA,NA,NA,NA,NA,4,652.54,675.09,597.15,458.47,461.12,451.98,534.85,475.48,544.56,511.46,477.8,429.31,530.27,460.4,460.85,465.17,512.43,524.8,NA,NA,552.52,577.99,549.36,2,474.33,538.63,502.23,586.74,588.3,482.74,595.82,679.01,583.73,505.2,452.6,552.71,551.69,505.17,512.15,536.03,3,486.79,424.06,377.53,486.63,474.39
"139",1052040109,418.47,411.95,522.64,506.95,449.28,428.63,449.98,475.74,453,547.03,423.88,408.58,375.5,438.57,3,438.11,564.56,451.86,375.8,415.15,538,375.04,349.95,414.94,397.09,398.66,534.32,545.26,2,451.1,482.06,402.97,496.36,413.97,482.02,507.94,460.48,493.7,400.91,395.88,500.77,511.44,544.52,560.57,530.55,512.43,495.98,481.84,500.03,384.25,497.19,483.25,1,532.6,538.63,574.89,548.93,534.92,592.08,638.41,496.15,472.91,579.75,512.47,483.83,363.76,613.14,576.31,596.35,4,504.66,436.41,301.09,395.14,522.19
